"nummer","hersteller","anzeigename","fahrzeug","klasse","baujahr","bild"
"1","Aston Martin","Aston Martin V8 Vantage GT3","V8 Vantage GT3","GT3","2019","Aston-Martin-V8-Vantage-2019.png"
"2","Aston Martin","Aston Martin V12 Vantage GT3","V12 Vantage GT3","GT3","2013","Aston-Martin-V12-Vantage-2013.png"
"3","Audi","Audi R8 LMS GT3","R8 LMS GT3","GT3","2015","Audi-R8-LMS-2015.png"
"4","Audi","Audi R8 LMS GT3 Evo","R8 LMS GT3 Evo","GT3","2019","Audi-R8-LMS-Evo-2019.png"
"5","Bentley","Bentley Continental GT3","Continental GT3","GT3","2015","Bentley-Continental-GT3-2015.png"
"6","Bentley","Bentley Continental GT3","Continental GT3","GT3","2018","Bentley-Continental-GT3-2018.png"
"7","BMW","BMW M4 GT3","M4 GT3","GT3","2022","BMW-M4-GT3-2022.png"
"8","BMW","BMW M6 GT3","M6 GT3","GT3","2017","BMW-M6-GT3-2017.png"
"9","Ferrari","Ferrari 488 GT3","488 GT3","GT3","2018","Ferrari-488-GT3-2018.png"
"10","Ford","Ford Mustang GT3","Mustang GT3","GT3","2024","Ford-Mustang-GT3-2024.png"
"11","Honda","Honda NSX GT3","NSX GT3","GT3","2017","Honda-NSX-GT3-2017.png"
"12","Honda","Honda NSX GT3 Evo","NSX GT3 Evo","GT3","2019","Honda-NSX-GT3-Evo-2019.png"
"13","Jaguar","Jaguar Emil Frey G3","Emil Frey G3","GT3","2012","Jaguar-Emil-Frey-GT3-2012.png"
"14","Lamborghini","Lamborghini Huracan GT3","Huracan GT3","GT3","2015","Lamborghini-Huracan-GT3-2015.png"
"15","Lamborghini","Lamborghini Huracan GT3 Evo","Huracan GT3 Evo","GT3","2019","Lamborghini-Huracan-GT3-Evo-2019.png"
"16","Lexus","Lexus RC F GT3","RC F GT3","GT3","2016",
"17","McLaren","McLaren 720S GT3 Evo","720S GT3 Evo","GT3","2023","McLaren-720S-GT3-EVO-2023.png"
"18","McLaren","McLaren 720S GT3","720S GT3","GT3","2019","McLaren-720S-GT3-2019.png"
"19","McLaren","McLaren 650S GT3","650S GT3","GT3","2016","McLaren-650S-GT3-2015.png"
"20","Mercedes-AMG","Mercedes-AMG AMG GT3","AMG GT3","GT3","2015","Mercedes-AMG-GT3-2015.png"
"21","Nissan","Nissan GT-R Nismo GT3","GT-R Nismo GT3","GT3","2015","Nissan-GT-R-Nismo-GT3-2015.png"
"22","Nissan","Nissan GT-R Nismo GT3","GT-R Nismo GT3","GT3","2018","Nissan-GT-R-Nismo-GT3-2018.png"
"23","Porsche","Porsche 911 GT3 R (991)","911 GT3 R (991)","GT3","2018","Porsche-991-GT3-R-2018.png"
"24","Porsche","Porsche 911 GT3 R (991 II)","911 GT3 R (991 II)","GT3","2019","Porsche-991II-GT3-R-2019.png"
"25","Reiter Engineering","Reiter Engineering R-EX GT3","R-EX GT3","GT3","2017","Reiter-Engineering-R-EX-GT3-2017.png"
"26","Ferrari","Ferrari 488 GT3 Evo","488 GT3 Evo","GT3","2020","Ferrari-488-GT3-Evo-2020.png"
